Date,Dividends
2010-05-19 00:00:00+08:00,0.18930438
2011-06-07 00:00:00+08:00,0.20884
2012-06-06 00:00:00+08:00,0.23040499
2013-06-17 00:00:00+08:00,0.271265
2014-06-12 00:00:00+08:00,0.32924
2015-06-29 00:00:00+08:00,0.324042
2016-06-29 00:00:00+08:00,0.275147
2017-07-03 00:00:00+08:00,0.267573
2018-07-05 00:00:00+08:00,0.289921
2019-06-25 00:00:00+08:00,0.284773
2020-06-22 00:00:00+08:00,0.287433
2021-06-28 00:00:00+08:00,0.319911
2022-07-04 00:00:00+08:00,0.343218
2023-07-06 00:00:00+08:00,0.329236
2024-07-08 00:00:00+08:00,0.335715
2025-01-02 00:00:00+08:00,0.155291
2025-07-03 00:00:00+08:00,0.180384
2025-12-04 00:00:00+08:00,0.15575
